ID,Prenda,Modelo,Precio,Dia de la semana,Dia,Mes,Año
491,Pantalon ,Tied Up,48100,,6,3,2024
492,Pantalon,Tied Up,48100,,6,3,2024
493,Remera ,Hima,31100,,6,3,2024
494,Legging,2/8 New Supplex,33500,,6,3,2024
495,Remera,Crop Hima,29900,,6,3,2024
496,Crop,Bruma,26400,,6,3,2024
497,Remera,Oversize La Templanza,28000,,8,3,2024
498,Crop ,O,26400,,9,3,2024
499,Crop,Suma,26400,,9,3,2024
500,Crop ,Dhanura,28600,,9,3,2024
501,Pantalon,Mindfulness,49900,,15,3,2024
502,Jogger,Mindfulness,49900,,18,3,2024
503,Yoguineta,No Gender Active,47400,,18,3,2024
504,Buzo,Crop Vaiu Sadhana,34000,,18,3,2024
505,Legging,7/8 New Supplex,44400,,18,3,2024
506,Musculosa,Guardianas,24300,,18,3,2024
507,Crop,Suma Lila,26400,,20,3,2024
508,Remera,Oversize No Me Olvides,28000,,20,3,2024
509,Buzo,Mindfulness,47900,,22,3,2024
510,Pantalon,Vaiu,45800,,23,3,2024
511,Mono,Flow,45000,,23,3,2024
512,Buzo,Crop Chill,46500,,23,3,2024
513,Buzo,Kurma,48000,,23,3,2024
514,Campera,Rompevientos Active lulea,62000,,25,3,2024
515,Crop ,Suma,26400,,25,3,2024
516,Crop ,Suma ,26400,,25,3,2024
517,Sweater ,Mindfulness,47900,,29,3,2024
518,Remera,Oversize No Me Olvides,28600,,29,3,2024
519,Crop ,Suma ,26400,,29,3,2024
520,Yoguineta ,No Gender Active,47400,,29,3,2024
522,Buzo,Vata,28500,,29,3,2024
523,Bomber,Somos Parte de un Todo,107000,,2,4,2024
524,Hoodie,No Gender Vidya,43500,,2,4,2024
525,Remera,Crop Hima,29900,,2,4,2024
526,Pantalon ,Tied Up,48000,,6,4,2024
527,Sweater,Mindfulness,47900,,6,4,2024
528,Remera,No Gender Oversize,26800,,6,4,2024
529,Yoguineta,No Gender Active,47400,,6,4,2024
530,Legging,7/8 Cotton Hibiscus,43100,,6,4,2024
531,Crop ,Dropback,31100,,6,4,2024
532,Pantalon,Crop Vaiu,43100,,6,4,2024
533,Legging,Cotton negra,38300,,6,4,2024
534,Pantalon,Mindfulness,49900,,6,4,2024
535,Polainas,Negra,25000,,7,4,2024
536,Legging,Stretch Morley,47000,,8,4,2024
537,Voucher,,40000,,11,4,2024
538,Legging,7/8 Cotton Hibiscus,43100,,11,4,2024
539,Jogger,Mindfulness,49900,,11,4,2024
540,Remera,Crop Air,33000,,12,4,2024
541,Legging,7/8 Stretch Morley,23950,,13,4,2024
542,Legging,7/8 Cotton Hibiscus,42100,,16,4,2024
543,Legging,7/8 New Supplex,44400,,16,4,2024
544,Pantalon,Warm Up,47000,,16,4,2024
545,Campera ,Active lulea - dif voucher,33500,,19,4,2024
546,Legging ,7/8 Kali - sorteo,0,,19,4,2024
547,Hoodie,No Gender El Mundo - dif sorteo,56900,,19,4,2024
548,Gorro ,lulea,15000,,23,4,2024
549,Buzo,Mindfulness,47900,,26,4,2024
550,Bomber Reversible,Somos Parte de un Todo,107000,,1,5,2024
551,Crop,Suma,26400,,1,5,2024
552,Legging,7/8 Glow Rubi,44400,,3,5,2024
553,Top,Anahata Glow Rubi,28900,,3,5,2024
554,Campera,Prema,137000,,3,5,2024
555,Legging,7/8 Cotton Cosmos Oceano Melange,41900,,3,5,2024
556,Top,Swasti Cotton Cosmos Oceano ,28900,,3,5,2024
557,Buzo ,Polar Hima,41900,,3,5,2024
558,Buzo,Polar Hima,41900,,3,5,2024
559,Remera ,Urdhva,29900,,3,5,2024
560,Crop,Maitri,26400,,3,5,2024
561,Crop,Maitri,26400,,3,5,2024
562,Crop,Maitri,26400,,3,5,2024
563,Buzo,Crop Chill,46500,,3,5,2024
564,Buzo,Crop Vaiu,27440,,3,5,2024
565,Buzo,Mindfulness,47900,,3,5,2024
566,Legging,7/8 Stretch ,47900,,3,5,2024
567,Legging ,Cotton,38000,,3,5,2024
568,Bomber,Reversible Somos Parte de un Todo,60000,,3,5,2024
569,Legging,Cotton Swasti,39500,,3,5,2024
570,Musculosa ,Om Negra,29900,,4,5,2024
571,Remera ,M/L Hima,31100,,4,5,2024
572,Jogger,Mindfulness,49900,,10,5,2024
573,Buzo,Mindfulness,47900,,10,5,2024
574,Remera,Manga Larga Hima,31100,,10,5,2024
575,Campera,Prema,109600,,10,5,2024
576,Legging,7/8 Cotton Hibiscus,34480,,10,5,2024
577,Buzo,Micropolar Hima,33520,,10,5,2024
578,Crop ,Suma,26400,,10,5,2024
579,Legging,7/8 Cotton Cosmos Oceano Melange,41900,,10,5,2024
580,Legging,7/8 Cotton Swasti canela,41900,,10,5,2024
581,Yoguineta,Larga No Gender,51900,,10,5,2024
582,Legging ,7/8 Cotton Swasti,39500,,10,5,2024
583,Buzo,Mindfulness,47900,,10,5,2024
584,Jogger,Mindfulness,49900,,10,5,2024
585,Gorro,lulea,15000,,13,5,2024
586,Pantalon,Tapas Mindfulness,49900,,13,5,2024
587,Legging,7/8 New Supplex,44400,,13,5,2024
588,Legging,Cosmos Oceano ,41900,,22,5,2024
589,Legging,7/8 Cosmos Oceano,41900,,22,5,2024
590,Polainas,lulea,26000,,22,5,2024
591,Gorro,Jaqui,0,,22,5,2024
592,Gorro,Leo,0,,22,5,2024
593,Polaina,lulea negra,26000,,24,5,2024
594,Polaina ,lulea negra,26000,,24,5,2024
595,Polaina,lulea negra,26000,,24,5,2024
596,Polaina,lulea gris,26000,,24,5,2024
597,Buzo,Micropolar Hima,41900,,24,5,2024
598,Legging,7/8 Espiritu Salvaje,49000,,24,5,2024
599,Legging,7/8 Cotton Swasti Azul Melange,40000,,24,5,2024
600,Crop,Bruma,19000,,24,5,2024
601,Buzo,Mindfulness,47900,,24,5,2024
602,Remera,Loose,23900,,24,5,2024
603,Pantalon,Mindfulness,49900,,27,5,2024
604,Legging ,7/8 Cotton Somos Nuestros Antepasados,40000,,29,5,2024
605,Crop ,Suma Negro,19000,,29,5,2024
606,Crop ,Suma Lila,19000,,29,5,2024
607,Legging ,7/8 Polisap Portal Sagrado,40000,,29,5,2024
608,Polainas,lulea,26000,,29,5,2024
609,Porta Mat,,13400,,29,5,2024
610,Crop ,Hima,29900,,31,5,2024
611,Legging,7/8 Stretch Morley,49900,,31,5,2024
612,Campera ,Prema,137000,,7,6,2024
613,Legging,7/8 New Supplex,44900,,7,6,2024
614,Buzo,Kurma,48000,,7,6,2024
615,Remera,Crop Urdhva,29900,,7,6,2024
616,Jogger,Mindfulness,49900,,8,6,2024
617,Hoodie,Velvet plush,59900,,8,6,2024
618,Pantalon,Mindfulness,46900,,14,6,2024
619,Buzo ,Mindfulness,49900,,14,6,2024
620,Buzo,Cosmos,44900,,14,6,2024
621,Remera,Crop Dhanura,29900,,14,6,2024
622,Yoguineta,No Gender Active lulea,44900,,14,6,2024
623,Musculosa ,Classic,27900,,14,6,2024
624,Hoodie,No Gender Velvet,59900,,14,6,2024
625,Legging,7/8 Cotton Swasti,39500,,14,6,2024
626,Legging,7/o Cosmos Azul,42900,,19,6,2024
627,Legging,Larga Cotton Somos Nuestros Antepasados,42900,,19,6,2024
628,Buzo,Hima,44900,,19,6,2024
629,Remera,Crop Lluvia del Dharma,29900,,19,6,2024
630,Legging,7/8 Cosmos,42900,,20,6,2024
631,Legging,7/8 Cosmos,42900,,20,6,2024
632,Hoddie,No Gender Velvet,59900,,20,6,2024
633,Gorro,lulea,16000,,20,6,2024
634,Legging,7/8 Plantas Maestras,0,,20,6,2024
635,Top,Om Plantas Maestras,0,,20,6,2024
636,Top ,Om Plantas Maestras,29900,,20,6,2024
637,Legging,7/8 Plantas Maestras,46900,,20,6,2024
638,Hoodie,No Gender Velvet,36000,,20,6,2024
639,Pantalon,Velvet,30000,,20,6,2024
640,Pantalon,Velvet,49900,,20,6,2024
641,Legging,7/8 Cotton Cosmos,42900,,22,6,2024
642,Remera,Crop Urdhva,29900,,22,6,2024
643,Mono ,Vaiu,59900,,22,6,2024
644,Legging,7/8 Cotton Swasti,39900,,22,6,2024
645,Buzo,Kurma,48000,,25,6,2024
646,Pantalon,Mindfulness,46900,,25,6,2024
647,Buzo,Kurma,48000,,25,6,2024
648,Jogger,Mindfulness,49900,,25,6,2024
649,Polainas,lulea,19900,,25,6,2024
650,Buzo ,Kurma - SORTEO,10000,,3,7,2024
651,Legging,7/8 Supplex ,49900,,3,7,2024
652,Hoodie,No Gender Velvet,59900,,3,7,2024
653,Pantalon,Velvet ,49900,,3,7,2024
654,Campera,Prema,136900,,3,7,2024
655,Buzo ,Hima Micropolar - revendedora,30200,,5,7,2024
656,Neceser,Vanaspati - SORTEO,0,,5,7,2024
657,Hoodie,No Gender El Mundo,59900,,5,7,2024
658,Legging,7/8 Cotton Cosmos ,47900,,8,7,2024
659,Remera,Trama,39900,,8,7,2024
660,Remera,Trama Canela,43900,,8,7,2024
661,Remera,Swasti,43900,,8,7,2024
662,Remera,Swasti,43900,,8,7,2024
663,Legging,7/8 Cotton Cosmos,47900,,8,7,2024
665,Buzo ,Kurma,59900,,10,7,2024
666,Buzo,Kurma,59900,,10,7,2024
667,Hoodie,No Gender El Mundo,65900,,12,7,2024
668,Remera ,Loose,32900,,16,7,2024
669,Legging,7/8 New Supplex,27180,,16,7,2024
670,Neceser,Vanaspati,10890,,16,7,2024
671,Remera,Trama,43900,,16,7,2024
672,Remera,Swasti,43900,,16,7,2024
673,Remera,Swasti,43900,,16,7,2024
674,Buzo,Kurma,65900,,16,7,2024
675,Legging,7/8 Amado Presente,51900,,16,7,2024
676,Top,Nadi Amado Presente ,30900,,16,7,2024
677,Buzo,Micropolar Him,44900,,17,7,2024
678,Legging,7/8 Stretch Morley,49900,,17,7,2024
679,Gorro,lulea,21900,,31,7,2024
680,Hoodie ,No Gender El Mundo,65900,,31,7,2024
681,Buzo,Micropolar Hima,54900,,31,7,2024
682,Remera,Oversize No Gender Despertar,32900,,31,7,2024
683,Legging,7/8 New Supplex,49900,,31,7,2024
684,Buzo,Kurma ,65900,,31,7,2024
685,Remera,Loose,32900,,31,7,2024
686,Hoddie ,No Gender Velvet Plush,65900,,2,8,2024
687,Legging ,7/8 Parvati,51900,,2,8,2024
688,Polaina,Gris,21900,,2,8,2024
689,Musculosa,Morley Anahata,30000,,7,8,2024
690,Remera,Oversize No Gender Despertar,32900,,7,8,2024
691,Pantalon,Crop Vaiu,51900,,7,8,2024
692,Buzo,Crop Vata,37900,,7,8,2024
693,Campera,Active lulea,65900,,9,8,2024
694,Legging,7/8 Plantas Maestras,51900,,9,8,2024
695,Top,Shanti Malaquita,28900,,9,8,2024
696,Top,New Bindi,32900,,9,8,2024
697,Crop,Suma,30900,,9,8,2024
698,Top ,Nadi Morley,30900,,16,8,2024
699,Campera,No Gender Despertal,87600,,16,8,2024
700,Top,Nadi Kali,20000,,16,8,2024
701,Legging,7/8 Kali Polisap,50000,,16,8,2024
702,Top,Om Polisap,28900,,16,8,2024
703,Legging,2/8 Agua Sagrada,37900,,16,8,2024
704,Crop ,Suma ,30900,,16,8,2024
705,Crop ,Maitri,30900,,16,8,2024
706,Remera ,Manga Larga Swasti,43900,,16,8,2024
707,Crop,Dhanura,32900,,23,8,2024
708,Remera ,Trama,43000,,23,8,2024
709,Musculosa,Anahata,30900,,23,8,2024
710,Legging,2/8 Agua Sagrada,39900,,23,8,2024
711,Crop ,Alba,30900,,23,8,2024
712,Crop ,Alba,30900,,23,8,2024
713,Crop,Alba,30900,,23,8,2024
714,Top ,Om Polisap,28900,,23,8,2024
715,Short,2/8 Polisap Agua Pastel,37900,,23,8,2024
716,Remera,Crop Swasti,35000,,23,8,2024
717,Pantalon,Crop Vaiu Musgo - Regalo Chichi,0,,23,8,2024
718,Musculosa,Anahata,30900,,24,8,2024
719,Hoodie ,No Gender Velvet Plush,65900,,24,8,2024
720,Buzo Crop,Vata,35900,,24,8,2024
721,Legging,7/8 Gemas,49900,,24,8,2024
722,RETIRO - Top,Shanti Trama,0,,24,8,2024
723,RETIRO - Pantalon,Largo Vaiu,0,,24,8,2024
724,RETIRO - Remera,Manga Larga Trama,0,,24,8,2024
725,RETIRO - Sweater ,Mystic,0,,30,8,2024
726,Crop,Alba Musgo,30900,,30,8,2024
727,Top,Nadi Polisap Azulino,30900,,30,8,2024
728,Top,Om New Supplex,28900,,30,8,2024
729,Legging,7/8 Compasion,51900,,30,8,2024
730,Legging,7/8 Cotton Somos Nuestros Antepasados,51900,,30,8,2024
732,Hoodie,No Gender Despertar,87900,,31,8,2024
733,Crop,Alba Musgo,30900,,31,8,2024
734,RETIRO REGALO - Gorro,lulea,0,,31,8,2024
735,Musculosa ,Mindfulness,24900,,6,9,2024
736,Yoguineta,Wide,57900,,6,9,2024
737,Buzo,Plantas Maestras,57900,,6,9,2024
738,Crop,Kurma,33900,,6,9,2024
739,Crop ,Bruma,33900,,6,9,2024
740,Legging,7/8 Cosmos Purpura Melange,52900,,6,9,2024
741,Legging,7/8 Guardianas Sagradas,57900,,6,9,2024
742,Musculosa,Om celeste,36900,,6,9,2024
743,Buzo,Crop Vaiu,41900,,6,9,2024
744,Top ,Nadi Power ,30900,,6,9,2024
745,Top,Shanti Compasion,33900,,6,9,2024
746,Legging,7/8 Compasion,57900,,6,9,2024
747,Crop,Suma New White,33900,,11,9,2024
748,Remera,Oversize No Gender La Emperatriz,36900,,11,9,2024
749,Campera,Loose Blanca,72900,,11,9,2024
750,Yoguineta,Wide,57900,,17,9,2024
751,Campera,Loose,72900,,17,9,2024
752,Musculosa,Brisa,33900,,17,9,2024
753,Crop ,Suma,33900,,17,9,2024
754,Short,Chill,43900,,17,9,2024
755,Top,Bindi Polisap,36900,,18,9,2024
756,Yoguineta,Wide,57900,,18,9,2024
757,Pantalon,New Vaiu,60900,,18,9,2024
758,Yoguineta,Wide,57900,,18,9,2024
759,Short ,Chill,43900,,20,9,2024
760,Legging,7/8 Cotton Swasti,48900,,20,9,2024
761,Legging,7/8 Cotton Swasti,48800,,20,9,2024
762,Legging,7/8 Cotton Violeta melange,48900,,25,9,2024
763,Remera ,Oversize La Emperatriz,36900,,27,9,2024
764,Short,Chill,43900,,27,9,2024
765,Buzo,La Carta S/ Nombre,48900,,27,9,2024
766,RETIRO REGALO,Uv Magui,0,,27,9,2024
767,Legging,2/8 Agua Sagrada Agua Pastel,43900,,28,9,2024
768,Top,Om Polisap,31100,,28,9,2024
769,Buzo ,No Gender Samsara,48900,,2,10,2024
770,Remera ,Oversize No Gender La Emperatriz,38900,,4,10,2024
771,Remera,Oversize No Gender La Emperatriz,38900,,4,10,2024
772,Remera ,Oversize No Gender La Estrella,38900,,4,10,2024
773,Top ,Nadi Morley Azul ,35900,,4,10,2024
774,Short,Ashtanga Morley Azul,46900,,4,10,2024
775,Top,Shanti cotton Tierra Madre,38900,,9,10,2024
776,Top,Shanti cotton Tierra Madre,38900,,9,10,2024
777,Top,Swasti cotton,35900,,9,10,2024
778,Top,Swasti cotton,35900,,9,10,2024
779,Short,2/8 cotton Tierra Madre,43900,,9,10,2024
780,Short,2/8 cotton Tierra Madre,43900,,9,10,2024
781,Pantalon,Crop Vaiu,57900,,9,10,2024
782,Legging,3/8 Polisap,43900,,11,10,2024
783,Legging,7/8 Polisap Air,60900,,11,10,2024
784,Legging,Glow,60900,,11,10,2024
785,Musculosa,Classic lulea,35900,,11,10,2024
786,Legging ,7/8 cotton Tierra Madre,55900,,11,10,2024
787,Remera,Free,35900,,11,10,2024
788,Legging,larga Somos Nuestros Antepasados,55900,,11,10,2024
789,Crop ,Suma,35900,,15,10,2024
790,Legging,7/8 Morley,63900,,15,10,2024
791,Legging,7/8 cotton Tierra Madre,55900,,16,10,2024
792,Legging,3/8 Semilla,46900,,16,10,2024
793,Remera,Oversize No Gender Despertar,38900,,16,10,2024
794,Legging ,7/8 Agua Sagrada Chocolate,60900,,16,10,2024
795,Musculosa,Bandha Gris,35900,,16,10,2024
796,Short,Chill,43900,,16,10,2024
797,Biker,Polisap Air,43900,,16,10,2024
798,Yoguineta,Wide ,57900,,16,10,2024
799,Tote Bag,accion lulea,14900,,16,10,2024
800,Campera,Loose,72900,,16,10,2024
801,Buzo ,Chill,60900,,16,10,2024
802,Remera ,Oversize La Templanza,38900,,16,10,2024
803,Legging,2/8 Compasion,46900,,20,10,2024
804,Top,Om Polisap Agua Pastel,33900,,20,10,2024
805,Legging,2/8 Agua Sagrada,46900,,20,10,2024
806,Short,Hombre Yogui,60900,,22,10,2024
807,RETIRO REGALO,Remera No Gender Waves,0,,22,10,2024
808,RETIRO,Remera Trama blanca,0,,22,10,2024
809,Pantalon,Crop Vaiu,60900,,22,10,2024
810,Legging,2/8 Boddhisatva,46900,,23,10,2024
811,Remera,Oversize No Gender Somos Tierra ,38900,,25,10,2024
812,RETIRO - REGALO,Musculosa Anahata,38900,,25,10,2024
813,RETIRO ,Musculosa Brisa,0,,28,10,2024
814,Crop,Bruma,35900,,28,10,2024
815,Crop,Alba,35900,,28,10,2024
816,Remera,Oversize No Gender No Me Olvides,40900,,6,11,2024
817,Yoguineta ,Active lulea,58900,,6,11,2024
818,Buzo,Cosmos,63900,,6,11,2024
819,Remera ,Oversize No Gender La Emperatriz,40900,,13,11,2024
820,Legging,7/8 cotton Tierra Madre malva,58900,,13,11,2024
821,Short,2/8 cotton ,40000,,13,11,2024
822,Top,Shanti Loto,40900,,13,11,2024
823,Top,Crop Bindi,40900,,15,11,2024
824,Legging,2/8 Morley Glow,46900,,15,11,2024
825,Remera,Nube El Carro,40900,,15,11,2024
826,Remera,Oversize No Gender Somos Tierra,38900,,15,11,2024
827,Crop,Valle,40900,,20,11,2024
828,Crop,Valle,40900,,20,11,2024
829,Crop,Active,40900,,20,11,2024
830,Remera,No Gender Despertar,40900,,21,11,2024
831,Legging,2/8 Agua Sagrada,49900,,21,11,2024
832,Mono,Corto Vaiu,60900,,27,11,2024
833,Campera,Active,98900,,27,11,2024
834,RETIRO,Remera El Carro,0,,27,11,2024
835,Top,Shanti cotton Tierra,40900,,27,11,2024
836,Remera,El Carro,40900,,27,11,2024
837,Legging,2/8 Agua Sagrada,49900,,28,11,2024
838,VOUCHER,,80000,,30,11,2024
839,VOUCHER,,55000,,30,11,2024
840,Remera,El Carro,40900,,2,12,2024
841,Crop ,Dropback,39900,,4,12,2024
842,Remera ,El Carro,25600,,4,12,2024
843,Campera ,Loose,84900,,4,12,2024
844,Campera,Active,99800,,4,12,2024
845,Musculosa ,Brisa,39900,,4,12,2024
846,Top,Nadi Morley Glow,3990,,4,12,2024
847,Legging,Recta Soft Cotton,61900,,6,12,2024
848,Pantalon ,Vaiu,70900,,6,12,2024
849,Pantalon ,Boho,66900,,6,12,2024
850,Crop ,Maitri,39900,,6,12,2024
851,Yogasuit,,70900,,11,12,2024
852,Crop,Alba,39900,,11,12,2024
853,Yoguineta ,Wide,66900,,11,12,2024
854,Top,Yogini,37900,,11,12,2024
855,Remera,No Gender Oversize El Mundo,40000,,14,12,2024
856,Campera ,Active,99800,,14,12,2024
857,Top,Nadi Fuego Creativo,39900,,18,12,2024
858,Short ,Ashtanga Fuego Creativo,52900,,18,12,2024
859,Top,Confort Caramel,39900,,18,12,2024
860,Short,2/8 Caramel ,52900,,18,12,2024
861,Top,Yoguini Polisap Rubi,37900,,18,12,2024
862,Short,2/8 Powe Polisap Rubi,49900,,18,12,2024
863,Crop,Maitri,39900,,18,12,2024
864,Crop,Maitri,39900,,18,12,2024
865,Pantalon,Vaiu,66900,,18,12,2024
866,Crop,Active ,42900,,18,12,2024
867,Crop ,Active,42900,,18,12,2024
868,Short,Chill,52900,,18,12,2024
869,Mono ,Wide,84900,,18,12,2024
870,Buzo - descuento Chichi,Kurma,0,,18,12,2024
872,Legging,7/8 Espiritu Salvaje,66900,,20,12,2024
873,Legging,7/8 Cotton Tierra Madre,61900,,20,12,2024
874,Legging,7/8 Vanam,66900,,20,12,2024
875,Campera,Active - Canje Voucher,19800,,20,12,2024
876,Short,Chill,52900,,20,12,2024
877,Top,Om Polisap Agua Pastel,37900,,20,12,2024
878,Yoguineta,Wide,66900,,21,12,2024
879,Legging,2/8 Tierra Madre,49900,,21,12,2024
880,Top,Yogini Polisap,37900,,21,12,2024
881,Short ,Ashtanga Fuego Creativo,52900,,21,12,2024
882,Mono,Wide,84900,,29,12,2024
883,Musculosa,Classic,43900,,29,12,2024
884,RETIRO - REGALO,Legging 3/8 Monte,0,,29,12,2024
885,Mono,Wide ,74000,,30,12,2024
886,Top,Bindi Supplex,37500,,17,1,2025
887,Remera,Oversize La Estrella,28140,,17,1,2025
888,Remera ,Oversize La Emperatriz,28140,,17,1,2025
889,Pantalon ,Tied Up,55740,,17,1,2025
890,Buzo,Warm Up,51540,,17,1,2025
891,Top,Bindi Atenea,28140,,17,1,2025
892,Top,Morley Glow,28140,,17,1,2025
893,Legging ,2/8 Cotton,28140,,17,1,2025
894,Remera,Swasti,36540,,17,1,2025
895,Top,Crop Samsara,28140,,21,1,2025
896,Remera ,Somos Tierra,28140,,21,1,2025
897,Legging,7/7 Guardianas Sagradas ,44340,,21,1,2025
898,Legging 2/8,Morley Glow,34740,,21,1,2025
899,Top,Nadi Morley Glow,35120,,21,1,2025
902,Top,Nadi Guardianas Sagradas,26340,,21,1,2025
903,Porta Mat,Bamboo,19740,,22,1,2025
904,Mono,Wide,74320,,22,1,2025
905,Vestido ,Magia Ancestral,32940,,22,1,2025
906,Legging,2/8 Geranio ,32940,,22,1,2025
907,Legging,Cotton 2/8 Gris,32940,,22,1,2025
908,Remera,Oversize La Templanza,28140,,22,1,2025
909,,,0,,22,1,2025
910,Vestido,Ananda,32900,,22,1,2025
911,Legging,Cotton Swasti,43920,,22,1,2025
912,Top,O Soft Cotton,33520,,22,1,2025
913,Short ,Devi Soft Cotton,37520,,22,1,2025
914,Top,O Cotton Anima,26320,,22,1,2025
915,Top,Om Polisap,33520,,22,1,2025
916,RETIRO - REGALO,Remera No Gender Waves,0,,24,1,2025
918,Vestido,Magia Ancestral,32940,,29,1,2025
919,Legging,7/8 Cotton Hibiscus,67900,,29,1,2025
920,Legging,7/8 New Supplex,73900,,29,1,2025
921,Legging,7/8 New Supplex,55920,,31,1,2025
922,Musculosa ,Bandha,26340,,31,1,2025
923,Musculosa,Brisa,35120,,31,1,2025
924,Musculosa ,Brisa,35120,,31,1,2025
925,Top,O ,33520,,31,1,2025
926,Crop,Maitri,35120,,7,2,2025
927,Top,Yogini Tibet,33520,,7,2,2025
928,Legging ,7/8 Tierra Madre,54320,,7,2,2025
929,Crop,Dhanura,37520,,7,2,2025
930,Vestido,Magia Ancestral,32940,,7,2,2025
931,Campera,Velvet,68340,,7,2,2025
932,Crop,Maitri,28000,,7,2,2025
933,Top,O Soft Cotton,33520,,7,2,2025
934,Remera,El Carro,35000,,7,2,2025
935,Short,Soft Cotton Devi,37520,,7,2,2025
936,Short,Ashtanga,43920,,12,2,2025
937,Top,Shanti Polisap Reciclado,35120,,12,2,2025
938,Mono,Crop Vaiu,42000,,12,2,2025
939,Legging,7/8 Cotton Cosmos,40000,,12,2,2025
940,Pantalon ,Velvet Plush,42540,,12,2,2025
941,Remera,El Carro,35000,,12,2,2025
942,Top,Crop Samsara,28140,,12,2,2025
943,RETIRO - REGALO,Legging 2/8 Agua Sagrada,0,,12,2,2025
944,RETIRO - ,Legging 2/8 Soft Cotton,0,,12,2,2025
945,Legging,7/8 Polisap Compasion,44300,,13,2,2025
946,Legging,7/8 Cotton Tierra Madre,54320,,13,2,2025
947,Legging,2/8 Loto,34000,,14,2,2025
948,Tote Bag,,16000,,14,2,2025
949,Remera,La Emperatriz,35175,,26,2,2025
950,Campera,Active lulea,91000,,26,2,2025
951,Legging,7/8 Cotton Swasti,51120,,26,2,2025
952,Remera,Manga Larga Swasti,38340,,26,2,2025
953,Remera,El Carro,37520,,26,2,2025
954,Legging,2/8 Loto,34740,,26,2,2025
955,Top,Shanti Loto,28140,,26,2,2025
956,Legging,3/8 Monte,46320,,4,3,2025
957,Musculosa,Om,37520,,4,3,2025
958,Musculosa,Anahata,37520,,4,3,2025
959,Pantalon,Velvet Plush,62320,,4,3,2025
960,Campera,Velvet Plush,91120,,4,3,2025
961,RETIRO - REGALO,Remera El Carro,0,,4,3,2025
962,Campera,Active,91000,,4,3,2025
963,Pantalon ,Vaiu,62400,,4,3,2025
964,Legging 7/8 ,Pocket Polisap Gardenia,73900,,7,3,2025
965,Top,Comfort Botanica Oculta,43900,,7,3,2025
966,Legging ,2/8 Pocket Polisap,57900,,7,3,2025
967,Top,Anahata Gardenia,46900,,7,3,2025
968,Crop,Dhanura,41900,,8,3,2025
969,Crop,Maitri,41900,,8,3,2025
970,Legging 7/8 ,Cotton Negra,63900,,8,3,2025
971,Remera,Trama,43900,,8,3,2025
972,Crop,Swasti,43900,,10,3,2025
975,Yoguineta ,Wide,77900,,10,3,2025
976,Legging,7/8 New Supplex,59400,,10,3,2025
977,Legging,2/8 New Supplex,46600,,10,3,2025
978,Top,Goa,39865,,12,3,2025
979,Legging,2/8 Polisap Chocolate,46665,,12,3,2025
980,Campera,No Gender Botanica Oculta,92900,,14,3,2025
981,Legging,Polisap Chocolate,69900,,14,3,2025
982,Remera,Manga Larga Urdhva,43900,,14,3,2025
983,Remera,La Luvia del Dharma,41900,,14,3,2025
984,Campera ,Prema Musgo,135000,,14,3,2025
985,Remera Manga Larga,Swasti,44000,,14,3,2025
989,Crop,Top Suma,41900,,14,3,2025
990,Legging,7/8 Agua Sagrada,62800,,14,3,2025
991,Legging,7/8 Tierra Madre,57715,,14,3,2025
992,Crop Top,Suma ,35600,,14,3,2025
993,Crop Top,Suma,35600,,14,3,2025
994,Buzo,Cotton Sadhana,62800,,14,3,2025
995,Legging,7/8 Polisap,59400,,14,3,2025
996,Crop ,Suma Nude,43900,,18,3,2025
997,Legging,2/8 Botanica Oculta,57900,,18,3,2025
998,Pantalon,Vaiu,62320,,18,3,2025
999,RETIRO - REGALO,Campera Velvet Plush,0,,18,3,2025
1000,RETIRO PERSONAL,Campera Velvet Plush,0,,18,3,2025
1001,RETIRO PERSONAL,Pantalon Velvet Plush,0,,18,3,2025
1002,Top,Om New Supplex,29300,,19,3,2025
1003,Yoguineta,Wide,62320,,21,3,2025
1004,Legging ,7/8 Cotton Tierra Madre,54320,,21,3,2025
1005,Remera,Trama,35120,,21,3,2025
1006,Remera ,Trama,35120,,21,3,2025
1007,Campera ,Prema,154320,,21,3,2025
1008,Campera ,Loose,74320,,21,3,2025
1009,Pantalon,Boho,62320,,21,3,2025
1010,Crop,Active,33520,,21,3,2025
1011,Crop,Active,33520,,21,3,2025
1012,Crop,Suma,33520,,21,3,2025
1013,Crop ,Suma,33520,,21,3,2025
1014,Crop,Suma,33520,,21,3,2025
1015,Crop,Kurma,33520,,21,3,2025
1016,Legging,7/8 New Supplex,55920,,21,3,2025
1017,Short,Ashtanga,43920,,21,3,2025
1018,Remera,Manga Larga Dhanura,35120,,21,3,2025
1019,Remera ,Urdhva,35120,,21,3,2025
1020,Short,Devi Soft Cotton,37520,,21,3,2025
1021,Short,2/8 Agua Sagrada,46320,,21,3,2025
1022,Crop,Alba,33520,,21,3,2025
1023,Crop ,Top Dropback,33520,,21,3,2025
1024,RETIRO - REGALO,Yoguineta Wide,0,,21,3,2025
1025,Short,Devi Soft Cotton,46900,,21,3,2025
1026,Buzo,Micropolar Hima,54530,,29,3,2025
1027,Yoguineta,Wide,54530,,29,3,2025
1028,Remera,Urdhva,30730,,29,3,2025
1029,Top,Cotton Swasti,30730,,29,3,2025
1030,Remera,Oversize No Gender Despertar,32830,,29,3,2025
1031,Legging,7/8 New Supplex,44000,,4,4,2025
1032,Campera ,Prema,135000,,4,4,2025
